servicios;NI;MO;RE;NE;ICM;ES;IF
Cirugía;2158;3,8;3,4;8567;1,17;21879;1,05
Tocoginecología;5146;0,3;3,1;3782;0,52;22068;0,87
Hematología;489;4,1;6,8;11005;1,68;4980;0,95
Cardiología;677;2,2;3,9;2161;1,3;8587;0,83
Digestivo;698;5,9;3,2;9473;1,06;7189;1,01
Medicina interna;4171;12,5;5,5;21563;1,04;47909;1,02
Neumología;562;5,1;4,4;2659;1,47;5098;0,68
Otorrinolaringología;650;2,1;2,3;22024;0,87;3161;0,86
Oftalmología;990;0;0,2;21752;0,82;1096;0,5
Pediatría;3752;0,3;2,1;8273;0,51;12152;1
Psiquiatría;622;0;13,3;27000;1,37;6776;0,6
Traumatología;1410;0,7;1,5;13290;1,16;14948;1,17
Urología;1161;2;3,9;4767;0,79;8959;1,01
